CILÍCIA,grego,que vira - At 15:23
CIRENE,hebraico,parede | grego: nascente; o manancial - At 2:10
CIRÊNIO,grego,natural de Cirene - Mc 15:21 e At 2:10
CIRO,persa,poder supremo - Dn 6:28
CIS,hebraico,laços de passarinhos; arco; poder - 1 Cr 9:36
CLAUDA,latim,voz quebrada - At 27:16
CLÁUDIA,latim,coxa - At 11:28,2 Tm 4:21
CLÁUDIO,latim,coxo - At 11:28,2 Tm 4:21
CLÁUDIO-LÍSIAS,latim,coxo de Lísias - At 23:26
CLEMENTE,grego,benigno; misericordioso - Fl 4:3
CLEOPAS,grego,a glória inteira - Lc 24:18
CLEOPHAS,grego,a glória inteira - Lc 24:18
CLEÓPATRA,grego,glória do pai - Gn 10:57
CLOÉ,grego,1º rebento das cervas - 1 Co 1:11
CLOPAS,grego,glória inteira - Js 19:25
CNIDO,grego,urtiga; dedicadora Vênus - At 27:7
COA,hebraico,garanhão - Ez 23:23
COATE,hebraico,assembléia - Gn 46:11
COBAR,hebraico,abundantemente - Ez 1:1
COFE,hebraico,1ª letra do alfabeto | hebraico: macaco - Sl 119:81
COLAÍAS,hebraico,a voz do Senhor - Ne 11:7
COLHOZE,hebraico,que vê tudo - Ne 3:15
COLOSSENSES,grego,epístolas de Paulo para os irmãos de Colossos
COLOSSOS,grego,castigo; correção - Cl 1:2
CONANÍAS,hebraico,Jeová estabeleceu - 2 Cr 31:12
CONSOLADOR,grego,advogado; o que consola - Jo 14:26
CORA,hebraico,calva - Gn 36:5
CORAZIM,hebraico,segredo; mistério - Mt 11:21
CORBÃ,hebraico,oferta - Mc 7:11
CORÉ,hebraico,gelo,calva - Gn 36:5
CORÍNTIO,grego,estimo,adorno - At 18:1
CORINTOS,grego,carta de Paulo aos habitantes de Corinto
CORNÉLIO,latim,duro como chifre; piedoso - At 10:1
CORO,hebraico,uma medida de capacidade de 370 l - Ez 45:14
CÓS,hebraico,espinho - Ed 2:61
COSA,hebraico,espinho - Lc 3:28
COSAO,hebraico,espinho - Lc 3:28
COSBI,hebraico,mentiroso; embusteiro; enganador - Nm 25:15
COZ,hebraico,espinho - 1 Cr 4:8
COZEBA,hebraico,mentira - 1 Cr 4:22
CRESCENTE,grego,que creseu; aumentado - 2 Tm 4:10
CRETA,grego,canal - At 27:7
CRISÓPRASO,grego,pedra de ouro - Ap 21:20
CRISPO,latim,crespo no cabelo - At 18:8
CRISTO,hebraico,Messias | grego: ungido - Mt 16:16
CRÔNICAS,hebraico,coisas esquecidas ou narração de fatos
CUSAÍAS,hebraico,dom de Deus - 1 Cr 15:17 | Mc 1:19 
CUBE,hebraico,frutífero - Ez 30:5
CUCHE,hebraico,preto - Jr 36:14
CUM,cidade de Haderezer rei da Síria,ignorado; comando - 1 Cr 18:8
CUS,hebraico,trevas; queimadura - Gn 2:17
CUSA,hebraico,malicioso - Hc 3:7
CUSA-RESATAIM,hebraico,duplamente malicioso - Jz 3:8
CUSE,hebraico,preto - Gn 2:17
CUSI,hebraico,preto - Jr 36:14
CUTA,hebraico,preto - 2 Rs 17:24
CUXE,hebraico,preto - Gn 10:6
CUZA,hebraico,profeta; vidente - Lc 8:3
DA,hebraico,juiz,julgamento - Gn 46:23
DADA,hebraico,inclinado - Gn 10:7
DA-JAJA,hebraico,juiz de bosque - 2 Sm 24:6
DABERATE,hebraico,terra de pastagem - Js 19:12
DABIR,hebraico,um oráculo - Js 10:38
DABRI,hebraico,promessa; eloqüente - Lv 24:11
DAFNE,grego,louro - 2 Mac 4:33
DAGOM,hebraico,peixe honrado - 1 Sm 5:2
DAHI,hebraico,promessa eloqüente - Lc 24:11
DALAÍAS,hebraico,Jeová planejou - 1 Cr 3:24
DALETE,4ª letra do alfabeto hebraico, - Sl 119:25
DALFOM,hebraico,esforçado - Et 9:7
DALILA,hebraico,delicada; fraca - Jz 16:4
DALMACIA,grego,enganoso; lâmpadas vãs - 2 Tm 4:10
DALMANUTA,hebraico,um balde; magreza - Mc 8:10
DALMATIA,grego,enganoso - 1 Tm 2:10
DAMARIS,grego,esposa; mulher pequena - At 17:34
DAMASCO,hebraico,cidade de Cão - Gn 14:15
DAMIM,hebraico,fim do sangue (uvas) - 1 Cr 11:13
DANA,hebraico,terra baixa - Js 15:49
DANABA,hebraico,ela pronunciou julgamento - Gn 36:32
DANIEL,hebraico,Deus é meu juiz - 1 Cr 3:1
DARA,hebraico,pérola da sabedoria; coração de sabedoria - 1 Cr 2:6
DARCOM,hebraico,espalhador - Ed 2:56
DARDA,hebraico,pérola da sabedoria - 1 Cr 2:6
DARIO,persa,Dozenda dara | hebraico: dono; senhor | grego: o poderoso rico - Dn 5:31
DATA,hebraico,de uma fonte; fim desejado ardentemente - Nm 16:1
DAVI,hebraico,amado - l Sm 16:13
DEBLAIM,hebraico,bolos - Os 1:3
